file/replicate,TI endpoint difference,TI error,MBAR endpoint difference,MBAR error,BAR endpoint difference,BAR error
sim_8_1.1_1.2_force-switch_sim_8_analysis.log,3.121019356939718,0.4356668695610723,3.4177430314414643,0.044900928701557624,3.4141857044642467,
sim_6_1.1_1.2_force-switch_sim_6_analysis.log,3.4494685483043925,0.13634986175993805,3.43481333026506,0.013696636931129196,3.4296239751634023,
sim_5_1.1_1.2_force-switch_sim_5_analysis.log,3.7104636179217128,0.13887176823485956,3.527326934687462,0.013699487159609041,3.5194809176367317,
sim_3_1.1_1.2_force-switch_sim_3_analysis.log,3.6487430646214216,0.13740198191325548,3.513127490110433,0.013691530932219162,3.509878347204664,
sim_0_1.1_1.2_force-switch_sim_0_analysis.log,3.5335580385162193,0.14075652437359282,3.51154658104492,0.013697763550345687,3.511912914706754,
sim_1_1.1_1.2_force-switch_sim_1_analysis.log,3.5917054875901324,0.13820603588071256,3.5134989360361732,0.013710123478536866,3.5054372419862823,
sim_2_1.1_1.2_force-switch_sim_2_analysis.log,3.5293874735055644,0.14132837622758163,3.4831900721717552,0.013703790123047857,3.469692860227006,
sim_7_1.1_1.2_force-switch_sim_7_analysis.log,3.586930359416977,0.13696723275583617,3.482519356060058,0.013706098472890579,3.4742186968775806,
sim_9_1.1_1.2_force-switch_sim_9_analysis.log,3.4283907491840746,0.13977086380538617,3.528712410965605,0.013699193389915107,3.523341971873102,
sim_4_1.1_1.2_force-switch_sim_4_analysis.log,3.6043321579452563,0.13622002191868265,3.4974801916236213,0.013680539837190184,3.4900744413784954,
